report_date,market,brand,product_category,sales_amount,units_sold,inventory_level,last_updated_ts
2026-05-06,DE,HANSAPLAST,WOUNDCARE,15332.34,1290,6773,2026-05-06 08:00:00
2026-05-06,FR,EUCERIN,DERMOCOSMETICS,13066.39,1325,1852,2026-05-06 09:03:00
2026-05-06,ES,HANSAPLAST,WOUNDCARE,17483.26,1304,6687,2026-05-06 10:06:00
2026-05-06,FR,LABELLO,LIPCARE,9285.39,964,4088,2026-05-06 11:09:00
2026-05-06,IT,NIVEA,SKINCARE,7094.63,331,3269,2026-05-06 12:12:00
2026-05-06,DE,EUCERIN,DERMOCOSMETICS,12032.38,214,1081,2026-05-06 13:15:00
2026-05-06,DE,EUCERIN,DERMOCOSMETICS,4477.3,264,3206,2026-05-06 14:18:00
2026-05-06,DE,EUCERIN,DERMOCOSMETICS,7537.92,1194,2255,2026-05-06 15:21:00
2026-05-06,FR,HANSAPLAST,WOUNDCARE,7023.46,1168,3834,2026-05-06 16:24:00
2026-05-06,FR,NIVEA,SKINCARE,4905.5,1082,3402,2026-05-06 17:27:00
2026-05-06,IT,HANSAPLAST,WOUNDCARE,10271.86,310,6016,2026-05-06 08:30:00
2026-05-06,DE,NIVEA,SKINCARE,9338.01,894,1395,2026-05-06 09:33:00
2026-05-06,FR,EUCERIN,DERMOCOSMETICS,6258.03,1118,1648,2026-05-06 10:36:00
2026-05-06,IT,EUCERIN,DERMOCOSMETICS,7538.9,711,1117,2026-05-06 11:39:00
2026-05-06,IT,NIVEA,SKINCARE,4233.53,1307,620,2026-05-06 12:42:00
